emp_no,salary,from_date,to_date
1,5000,1945-12-13,1965-05-30
2,4500,1965-05-30,1945-12-13
3,7500,1990-08-21,2010-03-01
4,3500,2002-11-04,2022-01-08
5,6300,1519-01-01,1539-01-01
6,5000,1945-12-13,1965-05-30
7,4500,1965-05-30,1945-12-13
8,7500,1990-08-21,2010-03-01
9,3500,2002-11-04,2022-01-08
10,6300,1519-01-01,1539-01-01
11,5000,1945-12-13,1965-05-30
12,4500,1965-05-30,1945-12-13
13,7500,1990-08-21,2010-03-01
14,3500,2002-11-04,2022-01-08
15,6300,1519-01-01,1539-01-01
16,5000,1945-12-13,1965-05-30
17,4500,1965-05-30,1945-12-13
18,7500,1990-08-21,2010-03-01
19,3500,2002-11-04,2022-01-08
20,6300,1519-01-01,1539-01-01
21,5000,1945-12-13,1965-05-30
22,4500,1965-05-30,1945-12-13
23,7500,1990-08-21,2010-03-01
24,3500,2002-11-04,2022-01-08
25,6300,1519-01-01,1539-01-01
26,5000,1945-12-13,1965-05-30
27,4500,1965-05-30,1945-12-13
28,7500,1990-08-21,2010-03-01
29,3500,2002-11-04,2022-01-08
30,6300,1519-01-01,1539-01-01
